RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        10285     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   28   42     0     0  con    4  1.9D-01  1.2D+00  1.588D-02  3.242D+00
   29   44     0     0  con    1  7.7D-02  2.9D-01  1.664D-02  3.241D+00
   30   45     0     0  con    0  1.0D+00  1.0D+00  2.238D-02  3.230D+00
   31   46     0     0  con    0  1.0D+00  1.1D+00  2.629D-02  3.199D+00
   32   48     0     0  con    1  4.7D-01  2.7D+00  6.587D-02  3.126D+00
   33   50     0     0  con    1  3.5D-01  8.4D-01  9.565D-02  3.096D+00
   34   51     0     0  con    0  1.0D+00  2.9D+00  1.311D-01  3.021D+00
   35   52     0     0  con    0  1.0D+00  1.8D+00  6.204D-02  2.789D+00
   36   53     0     0  con    0  1.0D+00  9.1D+00  1.187D-01  2.366D+00
   37   54     0     0  con    0  1.0D+00  1.9D+00  7.043D-02  2.158D+00
   38   55     0     0  con    0  1.0D+00  8.0D-01  5.641D-02  2.032D+00
   39   56     0     0  con    0  1.0D+00  3.8D+00  4.243D-02  1.847D+00
   40   57     0     0  con    0  1.0D+00  3.8D+00  3.618D-02  1.719D+00
   41   58     0     0  con    0  1.0D+00  6.2D+00  7.362D-02  1.579D+00
   42   59     0     0  con    0  1.0D+00  3.0D+00  2.252D-02  1.462D+00
   43   60     0     0  con    0  1.0D+00  1.4D+00  2.142D-02  1.379D+00
   44   61     0     0  con    0  1.0D+00  3.8D+00  3.165D-02  1.241D+00
   45   62     0     0  con    0  1.0D+00  3.4D+00  6.565D-02  1.164D+00
   46   63     0     0  con    0  1.0D+00  5.0D-01  2.154D-02  1.092D+00
   47   64     0     0  con    0  1.0D+00  9.2D-01  1.641D-02  1.038D+00
   48   65     0     0  con    0  1.0D+00  1.6D+00  2.255D-02  9.744D-01
   49   66     0     0  con    0  1.0D+00  2.8D+00  2.696D-02  9.153D-01
   50   67     0     0  con    0  1.0D+00  2.9D+00  1.951D-02  8.600D-01
   51   68     0     0  con    0  1.0D+00  6.5D-01  1.045D-02  8.320D-01
   52   69     0     0  con    0  1.0D+00  1.3D+00  1.755D-02  7.936D-01
   53   70     0     0  con    0  1.0D+00  1.5D+00  1.280D-02  7.605D-01
   54   71     0     0  con    0  1.0D+00  2.9D+00  2.347D-02  7.278D-01
   55   72     0     0  con    0  1.0D+00  8.6D-01  6.090D-03  6.984D-01
   56   73     0     0  con    0  1.0D+00  6.0D-01  5.669D-03  6.825D-01
   57   74     0     0  con    0  1.0D+00  1.3D+00  6.943D-03  6.559D-01
   58   75     0     0  con    0  1.0D+00  2.8D+00  2.195D-02  6.375D-01
   59   76     0     0  con    0  1.0D+00  1.5D+00  5.949D-03  6.078D-01
   60   77     0     0  con    0  1.0D+00  5.4D-01  3.804D-03  5.976D-01
   61   78     0     0  con    0  1.0D+00  1.3D+00  4.513D-03  5.819D-01
   62   79     0     0  con    0  1.0D+00  2.0D+00  1.013D-02  5.699D-01
   63   80     0     0  con    0  1.0D+00  7.5D-01  3.818D-03  5.552D-01
   64   81     0     0  con    0  1.0D+00  1.2D+00  3.291D-03  5.424D-01
   65   82     0     0  con    0  1.0D+00  1.0D+00  4.021D-03  5.324D-01
   66   83     0     0  con    0  1.0D+00  2.4D+00  1.056D-02  5.226D-01
   67   84     0     0  con    0  1.0D+00  6.8D-01  2.639D-03  5.101D-01
   68   85     0     0  con    0  1.0D+00  3.3D-01  2.141D-03  5.051D-01
   69   86     0     0  con    0  1.0D+00  8.0D-01  2.332D-03  4.958D-01
   70   87     0     0  con    0  1.0D+00  2.0D+00  1.400D-02  4.898D-01
   71   88     0     0  con    0  1.0D+00  7.2D-01  4.437D-03  4.786D-01
   72   89     0     0  con    0  1.0D+00  6.4D-01  2.164D-03  4.736D-01
   73   90     0     0  con    0  1.0D+00  8.4D-01  2.305D-03  4.686D-01
   74   91     0     0  con    0  1.0D+00  1.0D+00  2.558D-03  4.616D-01
   75   92     0     0  con    0  1.0D+00  2.7D+00  6.710D-03  4.537D-01
   76   93     0     0  con    0  1.0D+00  1.0D+00  2.598D-03  4.438D-01
   77   94     0     0  con    0  1.0D+00  3.2D-01  1.803D-03  4.402D-01
   78   95     0     0  con    0  1.0D+00  5.5D-01  2.052D-03  4.363D-01
   79   96     0     0  con    0  1.0D+00  9.3D-01  2.906D-03  4.320D-01
   80   97     0     0  con    0  1.0D+00  1.1D+00  2.468D-03  4.269D-01
   81   98     0     0  con    0  1.0D+00  1.3D+00  3.480D-03  4.220D-01
   82   99     0     0  con    0  1.0D+00  6.8D-01  2.183D-03  4.177D-01
   83  100     0     0  con    0  1.0D+00  6.2D-01  2.751D-03  4.140D-01
   84  101     0     0  con    0  1.0D+00  7.6D-01  2.477D-03  4.107D-01
   85  102     0     0  con    0  1.0D+00  8.1D-01  1.710D-03  4.076D-01
   86  103     0     0  con    0  1.0D+00  9.0D-01  2.273D-03  4.050D-01
   87  104     0     0  con    0  1.0D+00  8.4D-01  2.114D-03  4.023D-01
   88  105     0     0  con    0  1.0D+00  4.9D-01  1.922D-03  3.994D-01
   89  106     0     0  con    0  1.0D+00  1.5D+00  4.627D-03  3.958D-01
   90  107     0     0  con    0  1.0D+00  6.6D-01  1.836D-03  3.924D-01
   91  108     0     0  con    0  1.0D+00  1.7D-01  1.193D-03  3.909D-01
   92  109     0     0  con    0  1.0D+00  6.2D-01  1.040D-03  3.875D-01
   93  110     0     0  con    0  1.0D+00  1.3D+00  3.578D-03  3.853D-01
   94  111     0     0  con    0  1.0D+00  7.6D-01  1.536D-03  3.829D-01
   95  112     0     0  con    0  1.0D+00  5.5D-01  1.203D-03  3.812D-01
   96  113     0     0  con    0  1.0D+00  7.7D-01  1.787D-03  3.792D-01
   97  114     0     0  con    0  1.0D+00  8.6D-01  4.453D-03  3.782D-01
   98  115     0     0  con    0  1.0D+00  1.6D-01  2.107D-03  3.764D-01
   99  116     0     0  con    0  1.0D+00  2.5D-01  9.113D-04  3.750D-01
  100  117     0     0  con    0  1.0D+00  3.6D-01  1.339D-03  3.738D-01
  101  118     0     0  con    0  1.0D+00  7.9D-01  4.305D-03  3.726D-01
  102  119     0     0  con    0  1.0D+00  5.1D-01  2.075D-03  3.709D-01

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

